Sum of average_duration,Column Labels,,
Row Labels,casual,member,Grand Total
Jan,1279.028594,828.1041885,2107.132782
Feb,1511.58477,774.92544,2286.51021
Mar,1498.205964,718.3383087,2216.544272
Apr,1561.158154,742.0870035,2303.245158
May,1664.920096,809.643767,2474.563863
Jun,0,792.0881756,792.0881756
Jul,0,821.6705641,821.6705641
Aug,0,826.5547141,826.5547141
Sep,1511.625276,788.9219064,2300.547183
Oct,1372.695667,729.2163985,2101.912066
Nov,1194.385388,694.5511661,1888.936554
Dec,1196.407476,686.9440693,1883.351545
Grand Total,12790.01138,9213.045702,22003.05709
