member_casual,weekday,number_of_rides,average_duration,Average_duration_hms,Total Duration
casual,Sun,335133,2889.900132,12:48:10 AM,968500900.9
casual,Mon,238800,2436.111127,12:40:36 AM,581743337
casual,Tue,233799,2231.702166,12:37:12 AM,521769734.6
casual,Wed,242297,2330.318933,12:38:50 AM,564629286.4
casual,Thu,260920,2614.517426,12:43:35 AM,682179886.8
casual,Fri,311607,2425.594241,12:40:26 AM,755832144.7
casual,Sat,426193,2750.016343,12:45:50 AM,1172037715
,,,17678.16037,4:54:38 AM,
,,,,,
,num_of_rides,total_duration,Average duration,,
weekday,1287423,357:37:03,,,
weekend,761326,211:28:46,,,
